job_id;job_title_short;job_location_city;job_via;job_schedule_type;job_work_from_home;job_posted_month;job_no_degree_mention
433034;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
1741803;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
89138;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;TRUE
367782;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
477564;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
616444;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
129149;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
1449577;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
774572;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
835915;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
924084;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
946420;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
994528;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1401198;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
100192;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
111139;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
230835;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
280489;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
431624;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
586599;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
795848;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1338821;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
47494;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
302241;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
322977;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
460356;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
463476;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
596780;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
688388;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
708981;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
767326;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
830808;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
847181;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
1292175;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
71235;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
80051;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
84154;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
234594;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
346304;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
429073;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
439740;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
825180;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
988074;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;FALSE
1033650;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
275652;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
441854;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
457184;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
660488;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1492974;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1690987;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
34186;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
141215;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
289001;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
323125;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
338509;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
533980;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
708285;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
790886;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
868926;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1039673;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;FALSE
1325311;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
1338577;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
1362668;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;FALSE
1368996;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;FALSE
1738814;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
216111;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
419403;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
522442;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
552810;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;FALSE
781505;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;FALSE
791497;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;FALSE
